Year,State,Electoral_Votes,Winner,Winner_EV,Runner_Up,Runner_Up_EV,Total_EV_Cast,Notes,Winner_Party,RunnerUp_Party,Population,Population_Per_EV
1792,Rhode Island,4,George Washington,4,,0,132,All electors unanimous for Washington,,,68884.0,17221.0
1792,South Carolina,8,George Washington,8,,0,132,All electors unanimous for Washington,,,268377.0,33547.125
1792,Vermont,3,George Washington,3,,0,132,1 elector did not vote,,,99233.0,33077.666666666664
1792,Virginia,21,George Washington,21,,0,132,All electors unanimous for Washington,,,714901.0,34042.90476190476
1796,Connecticut,9,John Adams,9,Thomas Jefferson,0,138,Adams Federalist,Federalist,Democratic-Republican,245780.0,27308.88888888889
1796,Delaware,3,John Adams,3,Thomas Jefferson,0,138,Adams Federalist,Federalist,Democratic-Republican,62202.0,20734.0
1796,Georgia,4,Thomas Jefferson,4,John Adams,0,138,Jefferson Democratic-Republican,Federalist,Democratic-Republican,130631.0,32657.75
1796,Kentucky,4,Thomas Jefferson,4,John Adams,0,138,Jefferson Democratic-Republican,Federalist,Democratic-Republican,162044.0,40511.0
1796,Maryland,10,John Adams,7,Thomas Jefferson,4,138,Split vote,Federalist,Democratic-Republican,332820.0,33282.0
1796,Massachusetts,16,John Adams,16,Thomas Jefferson,0,138,Adams home state,Federalist,Democratic-Republican,405222.0,25326.375
1796,New Hampshire,6,John Adams,6,Thomas Jefferson,0,138,Adams Federalist,Federalist,Democratic-Republican,167069.0,27844.83333333333
1796,New Jersey,7,John Adams,7,Thomas Jefferson,0,138,Adams Federalist,Federalist,Democratic-Republican,200345.0,28620.714285714286
1796,New York,12,John Adams,12,Thomas Jefferson,0,138,Adams Federalist,Federalist,Democratic-Republican,489479.0,40789.91666666666
1796,North Carolina,12,Thomas Jefferson,11,John Adams,1,138,Split vote,Democratic-Republican,Federalist,444362.0,37030.16666666666
1796,Pennsylvania,15,Thomas Jefferson,14,John Adams,1,138,Split vote,Democratic-Republican,Federalist,535276.0,35685.066666666666
1796,Rhode Island,4,John Adams,4,Thomas Jefferson,0,138,Adams Federalist,Federalist,Democratic-Republican,69003.0,17250.75
1796,South Carolina,8,Thomas Jefferson,8,John Adams,0,138,Jefferson Democratic-Republican,Federalist,Democratic-Republican,306984.0,38373.0
1796,Tennessee,3,Thomas Jefferson,3,John Adams,0,138,New state admitted 1796,Federalist,Democratic-Republican,,
1796,Vermont,4,John Adams,4,Thomas Jefferson,0,138,Adams Federalist,Federalist,Democratic-Republican,126849.0,31712.25
1796,Virginia,21,Thomas Jefferson,20,John Adams,1,138,Jefferson home state,Democratic-Republican,Federalist,761229.0,36249.0
1800,Connecticut,9,John Adams,9,Thomas Jefferson,0,138,Adams Federalist,Democratic-Republican,Federalist,251002.0,27889.11111111111
1800,Delaware,3,John Adams,3,Thomas Jefferson,0,138,Adams Federalist,Democratic-Republican,Federalist,64273.0,21424.33333333333
1800,Georgia,4,Thomas Jefferson,4,John Adams,0,138,Jefferson Democratic-Republican,Democratic-Republican,Federalist,162686.0,40671.5
1800,Kentucky,4,Thomas Jefferson,4,John Adams,0,138,Jefferson Democratic-Republican,Democratic-Republican,Federalist,220955.0,55238.75
1800,Maryland,10,John Adams,5,Thomas Jefferson,5,138,Split vote,Democratic-Republican,Federalist,341548.0,34154.8
1800,Massachusetts,16,John Adams,16,Thomas Jefferson,0,138,Adams home state,Democratic-Republican,Federalist,422845.0,26427.8125
1800,New Hampshire,6,John Adams,6,Thomas Jefferson,0,138,Adams Federalist,Democratic-Republican,Federalist,183858.0,30643.0
1800,New Jersey,7,John Adams,7,Thomas Jefferson,0,138,Adams Federalist,Democratic-Republican,Federalist,211149.0,30164.14285714286
1800,New York,12,Thomas Jefferson,12,John Adams,0,138,Jefferson Democratic-Republican,Democratic-Republican,Federalist,589051.0,49087.583333333336
1800,North Carolina,12,Thomas Jefferson,8,John Adams,4,138,Split vote,Democratic-Republican,Federalist,478103.0,39841.91666666666
1800,Pennsylvania,15,Thomas Jefferson,8,John Adams,7,138,Split vote,Democratic-Republican,Federalist,602545.0,40169.66666666666
1800,Rhode Island,4,John Adams,4,Thomas Jefferson,0,138,Split vote,Democratic-Republican,Federalist,69122.0,17280.5
1800,South Carolina,8,Thomas Jefferson,8,John Adams,0,138,Jefferson Democratic-Republican,Democratic-Republican,Federalist,345591.0,43198.875
1800,Tennessee,3,Thomas Jefferson,3,John Adams,0,138,Jefferson Democratic-Republican,Democratic-Republican,Federalist,105602.0,35200.666666666664
1800,Vermont,4,John Adams,4,Thomas Jefferson,0,138,Adams Federalist,Democratic-Republican,Federalist,154465.0,38616.25
1800,Virginia,21,Thomas Jefferson,21,John Adams,0,138,Jefferson home state,Democratic-Republican,Federalist,807557.0,38455.09523809524
1804,Connecticut,9,Thomas Jefferson,0,Charles Pinckney,9,176,12th Amendment in effect,Democratic-Republican,Federalist,255418.0,28379.777777777777
1804,Delaware,3,Thomas Jefferson,0,Charles Pinckney,3,176,Federalist,Democratic-Republican,Federalist,67633.0,22544.33333333333
1804,Georgia,6,Thomas Jefferson,6,Charles Pinckney,0,176,Democratic-Republican,Democratic-Republican,Federalist,198174.0,33029.0
1804,Kentucky,8,Thomas Jefferson,8,Charles Pinckney,0,176,Democratic-Republican,Democratic-Republican,Federalist,295177.0,36897.125
1804,Maryland,11,Thomas Jefferson,9,Charles Pinckney,2,176,Split vote,Democratic-Republican,Federalist,357147.0,32467.90909090909
1804,Massachusetts,19,Thomas Jefferson,0,Charles Pinckney,19,176,Federalist,Democratic-Republican,Federalist,442523.0,23290.68421052632
1804,New Hampshire,7,Thomas Jefferson,0,Charles Pinckney,7,176,Federalist,Democratic-Republican,Federalist,196059.0,28008.42857142857
1804,New Jersey,8,Thomas Jefferson,8,Charles Pinckney,0,176,Democratic-Republican,Democratic-Republican,Federalist,224911.0,28113.875
1804,New York,19,Thomas Jefferson,19,Charles Pinckney,0,176,Democratic-Republican,Democratic-Republican,Federalist,737050.0,38792.10526315789
1804,North Carolina,14,Thomas Jefferson,14,Charles Pinckney,0,176,Democratic-Republican,Democratic-Republican,Federalist,509062.0,36361.57142857143
1804,Ohio,3,Thomas Jefferson,3,Charles Pinckney,0,176,New state admitted 1803,Democratic-Republican,Federalist,,
1804,Pennsylvania,20,Thomas Jefferson,20,Charles Pinckney,0,176,Democratic-Republican,Democratic-Republican,Federalist,685563.0,34278.15
1804,Rhode Island,4,Thomas Jefferson,4,Charles Pinckney,0,176,Democratic-Republican,Democratic-Republican,Federalist,72246.0,18061.5
1804,South Carolina,10,Thomas Jefferson,10,Charles Pinckney,0,176,Democratic-Republican,Democratic-Republican,Federalist,373401.0,37340.1
1804,Tennessee,5,Thomas Jefferson,5,Charles Pinckney,0,176,Democratic-Republican,Democratic-Republican,Federalist,168052.0,33610.4
1804,Vermont,6,Thomas Jefferson,6,Charles Pinckney,0,176,Democratic-Republican,Democratic-Republican,Federalist,179837.0,29972.83333333333
1804,Virginia,24,Thomas Jefferson,24,Charles Pinckney,0,176,Jefferson home state,Democratic-Republican,Federalist,835607.0,34816.958333333336
1808,Connecticut,9,James Madison,0,Charles Pinckney,9,176,Federalist,Democratic-Republican,Federalist,259834.0,28870.444444444445
1808,Delaware,3,James Madison,0,Charles Pinckney,3,176,Federalist,Democratic-Republican,Federalist,70994.0,23664.666666666668
1808,Georgia,6,James Madison,6,Charles Pinckney,0,176,Democratic-Republican,Democratic-Republican,Federalist,233663.0,38943.833333333336
1808,Kentucky,8,James Madison,7,Charles Pinckney,0,176,1 faithless elector,Democratic-Republican,Federalist,369400.0,46175.0
1808,Maryland,11,James Madison,9,Charles Pinckney,2,176,Split vote,Democratic-Republican,Federalist,372746.0,33886.0
1808,Massachusetts,19,James Madison,0,Charles Pinckney,19,176,Federalist,Democratic-Republican,Federalist,462201.0,24326.36842105263
1808,New Hampshire,7,James Madison,0,Charles Pinckney,7,176,Federalist,Democratic-Republican,Federalist,208260.0,29751.42857142857
1808,New Jersey,8,James Madison,8,Charles Pinckney,0,176,Democratic-Republican,Democratic-Republican,Federalist,238674.0,29834.25
1808,New York,19,James Madison,13,Charles Pinckney,6,176,Split vote,Democratic-Republican,Federalist,885049.0,46581.52631578947
1808,North Carolina,14,James Madison,11,Charles Pinckney,3,176,Split vote,Democratic-Republican,Federalist,540021.0,38572.92857142857
1808,Ohio,3,James Madison,3,Charles Pinckney,0,176,Democratic-Republican,Democratic-Republican,Federalist,,
1808,Pennsylvania,20,James Madison,20,Charles Pinckney,0,176,Democratic-Republican,Democratic-Republican,Federalist,768582.0,38429.1
1808,Rhode Island,4,James Madison,0,Charles Pinckney,4,176,Federalist,Democratic-Republican,Federalist,75369.0,18842.25
1808,South Carolina,10,James Madison,10,Charles Pinckney,0,176,Democratic-Republican,Democratic-Republican,Federalist,401210.0,40121.0
1808,Tennessee,5,James Madison,5,Charles Pinckney,0,176,Democratic-Republican,Democratic-Republican,Federalist,230502.0,46100.4
1808,Vermont,6,James Madison,6,Charles Pinckney,0,176,Democratic-Republican,Democratic-Republican,Federalist,205209.0,34201.5
1808,Virginia,24,James Madison,24,Charles Pinckney,0,176,Madison home state,Democratic-Republican,Federalist,863658.0,35985.75
1812,Connecticut,9,James Madison,0,DeWitt Clinton,9,218,Federalist,Democratic-Republican,Federalist,264674.0,29408.222222222223
1812,Delaware,4,James Madison,0,DeWitt Clinton,3,218,Federalist,Democratic-Republican,Federalist,72689.0,18172.25
1812,Georgia,8,James Madison,8,DeWitt Clinton,0,218,Democratic-Republican,Democratic-Republican,Federalist,269323.0,33665.375
1812,Kentucky,12,James Madison,12,DeWitt Clinton,0,218,Democratic-Republican,Democratic-Republican,Federalist,438072.0,36506.0
1812,Louisiana,3,James Madison,3,DeWitt Clinton,0,218,New state admitted 1812,Democratic-Republican,Federalist,91926.0,30642.0
1812,Maryland,11,James Madison,6,DeWitt Clinton,5,218,Split vote,Democratic-Republican,Federalist,385907.0,35082.454545454544
1812,Massachusetts,22,James Madison,0,DeWitt Clinton,22,218,Federalist,Democratic-Republican,Federalist,482289.0,21922.227272727272
1812,New Hampshire,8,James Madison,0,DeWitt Clinton,8,218,Federalist,Democratic-Republican,Federalist,220320.0,27540.0
1812,New Jersey,8,James Madison,0,DeWitt Clinton,8,218,Federalist,Democratic-Republican,Federalist,251959.0,31494.875
1812,New York,29,James Madison,0,DeWitt Clinton,29,218,Clinton home state,Democratic-Republican,Federalist,1041802.0,35924.206896551725
1812,North Carolina,15,James Madison,15,DeWitt Clinton,0,218,Democratic-Republican,Democratic-Republican,Federalist,572166.0,38144.4
1812,Ohio,8,James Madison,7,DeWitt Clinton,0,218,1 elector did not vote,Democratic-Republican,Federalist,300895.0,37611.875
1812,Pennsylvania,25,James Madison,25,DeWitt Clinton,0,218,Democratic-Republican,Democratic-Republican,Federalist,857964.0,34318.56
1812,Rhode Island,4,James Madison,0,DeWitt Clinton,4,218,Federalist,Democratic-Republican,Federalist,78157.0,19539.25
1812,South Carolina,11,James Madison,11,DeWitt Clinton,0,218,Democratic-Republican,Democratic-Republican,Federalist,432640.0,39330.90909090909
1812,Tennessee,8,James Madison,8,DeWitt Clinton,0,218,Democratic-Republican,Democratic-Republican,Federalist,293944.0,36743.0
1812,Vermont,8,James Madison,8,DeWitt Clinton,0,218,Democratic-Republican,Democratic-Republican,Federalist,221512.0,27689.0
1812,Virginia,25,James Madison,25,DeWitt Clinton,0,218,Madison home state,Democratic-Republican,Federalist,889799.0,35591.96
1816,Connecticut,9,James Monroe,0,Rufus King,9,221,Federalist,Democratic-Republican,Federalist,269938.0,29993.11111111111
1816,Delaware,4,James Monroe,0,Rufus King,3,221,Federalist,Democratic-Republican,Federalist,72719.0,18179.75
1816,Georgia,8,James Monroe,8,Rufus King,0,221,Democratic-Republican,Democratic-Republican,Federalist,305156.0,38144.5
1816,Indiana,3,James Monroe,3,Rufus King,0,221,New state admitted 1816,Democratic-Republican,Federalist,,
1816,Kentucky,12,James Monroe,12,Rufus King,0,221,Democratic-Republican,Democratic-Republican,Federalist,501195.0,41766.25
1816,Louisiana,3,James Monroe,3,Rufus King,0,221,Democratic-Republican,Democratic-Republican,Federalist,122667.0,40889.0
1816,Maryland,11,James Monroe,8,Rufus King,0,221,3 electors did not vote,Democratic-Republican,Federalist,396628.0,36057.09090909091
1816,Massachusetts,22,James Monroe,0,Rufus King,22,221,Federalist,Democratic-Republican,Federalist,502788.0,22854.0
1816,New Hampshire,8,James Monroe,8,Rufus King,0,221,Democratic-Republican,Democratic-Republican,Federalist,232241.0,29030.125
1816,New Jersey,8,James Monroe,8,Rufus King,0,221,Democratic-Republican,Democratic-Republican,Federalist,264767.0,33095.875
1816,New York,29,James Monroe,29,Rufus King,0,221,Democratic-Republican,Democratic-Republican,Federalist,1207307.0,41631.27586206896
1816,North Carolina,15,James Monroe,15,Rufus King,0,221,Democratic-Republican,Democratic-Republican,Federalist,605497.0,40366.46666666667
1816,Ohio,8,James Monroe,8,Rufus King,0,221,Democratic-Republican,Democratic-Republican,Federalist,441164.0,55145.5
1816,Pennsylvania,25,James Monroe,25,Rufus King,0,221,Democratic-Republican,Democratic-Republican,Federalist,953711.0,38148.44
1816,Rhode Island,4,James Monroe,4,Rufus King,0,221,Democratic-Republican,Democratic-Republican,Federalist,80608.0,20152.0
1816,South Carolina,11,James Monroe,11,Rufus King,0,221,Democratic-Republican,Democratic-Republican,Federalist,467691.0,42517.36363636364
1816,Tennessee,8,James Monroe,8,Rufus King,0,221,Democratic-Republican,Democratic-Republican,Federalist,358379.0,44797.375
1816,Vermont,8,James Monroe,8,Rufus King,0,221,Democratic-Republican,Democratic-Republican,Federalist,228747.0,28593.375
1816,Virginia,25,James Monroe,25,Rufus King,0,221,Monroe home state,Democratic-Republican,Federalist,914030.0,36561.2
1820,Alabama,3,James Monroe,3,John Q. Adams,0,235,New state admitted 1819,Democratic-Republican,,127901.0,42633.66666666666
1820,Connecticut,9,James Monroe,9,John Q. Adams,0,235,Effectively unopposed,Democratic-Republican,,275202.0,30578.0
1820,Delaware,4,James Monroe,3,John Q. Adams,0,235,1 elector did not vote,Democratic-Republican,,72749.0,18187.25
1820,Georgia,8,James Monroe,8,John Q. Adams,0,235,Effectively unopposed,Democratic-Republican,,340989.0,42623.625
1820,Illinois,3,James Monroe,3,John Q. Adams,0,235,New state admitted 1818,Democratic-Republican,,55211.0,18403.666666666668
1820,Indiana,3,James Monroe,3,John Q. Adams,0,235,Effectively unopposed,Democratic-Republican,,147178.0,49059.333333333336
1820,Kentucky,12,James Monroe,12,John Q. Adams,0,235,Effectively unopposed,Democratic-Republican,,564317.0,47026.41666666666
1820,Louisiana,3,James Monroe,3,John Q. Adams,0,235,Effectively unopposed,Democratic-Republican,,153407.0,51135.66666666666
1820,Maine,9,James Monroe,9,John Q. Adams,0,235,New state admitted 1820,Democratic-Republican,,298335.0,33148.333333333336
1820,Maryland,11,James Monroe,11,John Q. Adams,0,235,Effectively unopposed,Democratic-Republican,,407350.0,37031.81818181818
1820,Massachusetts,15,James Monroe,15,John Q. Adams,0,235,Effectively unopposed,Democratic-Republican,,523287.0,34885.8
1820,Mississippi,3,James Monroe,2,John Q. Adams,0,235,New state 1817; 1 elector did not vote,Democratic-Republican,,75448.0,25149.33333333333
1820,Missouri,3,James Monroe,3,John Q. Adams,0,235,New state 1821; disputed,Democratic-Republican,,,
1820,New Hampshire,8,James Monroe,7,John Q. Adams,1,235,1 faithless elector,Democratic-Republican,,244161.0,30520.125
1820,New Jersey,8,James Monroe,8,John Q. Adams,0,235,Effectively unopposed,Democratic-Republican,,277575.0,34696.875
1820,New York,29,James Monroe,29,John Q. Adams,0,235,Effectively unopposed,Democratic-Republican,,1372812.0,47338.34482758621
1820,North Carolina,15,James Monroe,15,John Q. Adams,0,235,Effectively unopposed,Democratic-Republican,,638829.0,42588.6
1820,Ohio,8,James Monroe,8,John Q. Adams,0,235,Effectively unopposed,Democratic-Republican,,581434.0,72679.25
1820,Pennsylvania,25,James Monroe,24,John Q. Adams,0,235,1 elector did not vote,Democratic-Republican,,1049458.0,41978.32
1820,Rhode Island,4,James Monroe,4,John Q. Adams,0,235,Effectively unopposed,Democratic-Republican,,83059.0,20764.75
1820,South Carolina,11,James Monroe,11,John Q. Adams,0,235,Effectively unopposed,Democratic-Republican,,502741.0,45703.72727272727
1820,Tennessee,8,James Monroe,7,John Q. Adams,0,235,1 elector did not vote,Democratic-Republican,,422813.0,52851.625
1820,Vermont,8,James Monroe,8,John Q. Adams,0,235,Effectively unopposed,Democratic-Republican,,235981.0,29497.625
1820,Virginia,25,James Monroe,25,John Q. Adams,0,235,Monroe home state,Democratic-Republican,,938261.0,37530.44
1824,Alabama,5,Andrew Jackson,5,John Q. Adams,0,261,No majority; House decides,Democratic-Republican,Democratic-Republican,200551.0,40110.2
1824,Connecticut,8,John Q. Adams,8,Andrew Jackson,0,261,Adams wins state,Democratic-Republican,Democratic-Republican,284191.0,35523.875
1824,Delaware,3,William Crawford,1,Andrew Jackson,1,261,Split vote,Democratic-Republican,Democratic-Republican,74349.0,24783.0
1824,Georgia,9,William Crawford,9,Andrew Jackson,0,261,Crawford home state,Democratic-Republican,Democratic-Republican,411323.0,45702.55555555556
1824,Illinois,3,Andrew Jackson,2,John Q. Adams,1,261,Split vote,Democratic-Republican,Democratic-Republican,96105.0,32035.0
1824,Indiana,5,Andrew Jackson,5,John Q. Adams,0,261,Jackson plurality,Democratic-Republican,Democratic-Republican,225519.0,45103.8
1824,Kentucky,14,Henry Clay,14,Andrew Jackson,0,261,Clay home state,Democratic-Republican,Democratic-Republican,613757.0,43839.78571428572
1824,Louisiana,5,Andrew Jackson,3,John Q. Adams,2,261,Split vote,Democratic-Republican,Democratic-Republican,178340.0,35668.0
1824,Maine,9,John Q. Adams,9,Andrew Jackson,0,261,Adams wins state,Democratic-Republican,Democratic-Republican,338783.0,37642.55555555556
1824,Maryland,11,Andrew Jackson,7,John Q. Adams,3,261,Split vote,Democratic-Republican,Democratic-Republican,423226.0,38475.09090909091
1824,Massachusetts,15,John Q. Adams,15,Andrew Jackson,0,261,Adams home state,Democratic-Republican,Democratic-Republican,558135.0,37209.0
1824,Mississippi,3,Andrew Jackson,3,John Q. Adams,0,261,Jackson plurality,Democratic-Republican,Democratic-Republican,99917.0,33305.666666666664
1824,Missouri,3,Henry Clay,3,Andrew Jackson,0,261,Clay wins state,Democratic-Republican,Democratic-Republican,96134.0,32044.666666666668
1824,New Hampshire,8,John Q. Adams,8,Andrew Jackson,0,261,Adams wins state,Democratic-Republican,Democratic-Republican,254228.0,31778.5
1824,New Jersey,8,Andrew Jackson,8,John Q. Adams,0,261,Jackson plurality,Democratic-Republican,Democratic-Republican,294874.0,36859.25
1824,New York,36,John Q. Adams,26,Andrew Jackson,5,261,Complex split,Democratic-Republican,Democratic-Republican,1591130.0,44198.05555555556
1824,North Carolina,15,Andrew Jackson,15,John Q. Adams,0,261,Jackson plurality,Democratic-Republican,Democratic-Republican,678492.0,45232.8
1824,Ohio,16,Henry Clay,16,Andrew Jackson,0,261,Clay wins state,Democratic-Republican,Democratic-Republican,724022.0,45251.375
1824,Pennsylvania,28,Andrew Jackson,28,John Q. Adams,0,261,Jackson plurality,Democratic-Republican,Democratic-Republican,1168968.0,41748.857142857145
1824,Rhode Island,4,John Q. Adams,4,Andrew Jackson,0,261,Adams wins state,Democratic-Republican,Democratic-Republican,88715.0,22178.75
1824,South Carolina,11,Andrew Jackson,11,John Q. Adams,0,261,Jackson plurality,Democratic-Republican,Democratic-Republican,534119.0,48556.27272727273
1824,Tennessee,11,Andrew Jackson,11,John Q. Adams,0,261,Jackson home state,Democratic-Republican,Democratic-Republican,526449.0,47859.0
1824,Vermont,7,John Q. Adams,7,Andrew Jackson,0,261,Adams wins state,Democratic-Republican,Democratic-Republican,253849.0,36264.142857142855
1824,Virginia,24,William Crawford,24,Andrew Jackson,0,261,Crawford wins state,Democratic-Republican,Democratic-Republican,980578.0,40857.41666666666
1828,Alabama,5,Andrew Jackson,5,John Q. Adams,0,261,Jackson Democrat,Democratic,National Republican,273202.0,54640.4
1828,Connecticut,8,John Q. Adams,8,Andrew Jackson,0,261,Adams National Republican,Democratic,National Republican,293180.0,36647.5
1828,Delaware,3,John Q. Adams,3,Andrew Jackson,0,261,Adams National Republican,Democratic,National Republican,75948.0,25316.0
1828,Georgia,9,Andrew Jackson,9,John Q. Adams,0,261,Jackson Democrat,Democratic,National Republican,481656.0,53517.333333333336
1828,Illinois,3,Andrew Jackson,3,John Q. Adams,0,261,Jackson Democrat,Democratic,National Republican,136998.0,45666.0
1828,Indiana,5,Andrew Jackson,5,John Q. Adams,0,261,Jackson Democrat,Democratic,National Republican,303860.0,60772.0
1828,Kentucky,14,Andrew Jackson,14,John Q. Adams,0,261,Jackson Democrat,Democratic,National Republican,663197.0,47371.21428571428
1828,Louisiana,5,Andrew Jackson,5,John Q. Adams,0,261,Jackson Democrat,Democratic,National Republican,203273.0,40654.6
1828,Maine,9,John Q. Adams,8,Andrew Jackson,1,261,Split vote,Democratic,National Republican,379231.0,42136.77777777778
1828,Maryland,11,John Q. Adams,6,Andrew Jackson,5,261,Split vote,Democratic,National Republican,439102.0,39918.36363636364
1828,Massachusetts,15,John Q. Adams,15,Andrew Jackson,0,261,Adams home state,Democratic,National Republican,592984.0,39532.26666666667
1828,Mississippi,3,Andrew Jackson,3,John Q. Adams,0,261,Jackson Democrat,Democratic,National Republican,124386.0,41462.0
1828,Missouri,3,Andrew Jackson,3,John Q. Adams,0,261,Jackson Democrat,Democratic,National Republican,125681.0,41893.66666666666
1828,New Hampshire,8,John Q. Adams,8,Andrew Jackson,0,261,Adams National Republican,Democratic,National Republican,264295.0,33036.875
1828,New Jersey,8,John Q. Adams,8,Andrew Jackson,0,261,Adams National Republican,Democratic,National Republican,312173.0,39021.625
1828,New York,36,Andrew Jackson,20,John Q. Adams,16,261,Split vote,Democratic,National Republican,1809449.0,50262.47222222222
1828,North Carolina,15,Andrew Jackson,15,John Q. Adams,0,261,Jackson Democrat,Democratic,National Republican,718155.0,47877.0
1828,Ohio,16,Andrew Jackson,16,John Q. Adams,0,261,Jackson Democrat,Democratic,National Republican,866609.0,54163.0625
1828,Pennsylvania,28,Andrew Jackson,28,John Q. Adams,0,261,Jackson Democrat,Democratic,National Republican,1288478.0,46017.07142857143
1828,Rhode Island,4,John Q. Adams,4,Andrew Jackson,0,261,Adams National Republican,Democratic,National Republican,94371.0,23592.75
1828,South Carolina,11,Andrew Jackson,11,John Q. Adams,0,261,Jackson Democrat,Democratic,National Republican,565496.0,51408.72727272727
1828,Tennessee,11,Andrew Jackson,11,John Q. Adams,0,261,Jackson home state,Democratic,National Republican,630086.0,57280.545454545456
1828,Vermont,7,John Q. Adams,7,Andrew Jackson,0,261,Adams National Republican,Democratic,National Republican,271718.0,38816.857142857145
1828,Virginia,24,Andrew Jackson,24,John Q. Adams,0,261,Jackson Democrat,Democratic,National Republican,1022895.0,42620.625
1832,Alabama,7,Andrew Jackson,7,Henry Clay,0,286,Jackson Democrat,Democratic,National Republican,365773.0,52253.28571428572
1832,Connecticut,8,Henry Clay,8,Andrew Jackson,0,286,Clay National Republican,Democratic,National Republican,300136.0,37517.0
1832,Delaware,3,Henry Clay,3,Andrew Jackson,0,286,Clay National Republican,Democratic,National Republican,77015.0,25671.666666666668
1832,Georgia,11,Andrew Jackson,11,Henry Clay,0,286,Jackson Democrat,Democratic,National Republican,551737.0,50157.90909090909
1832,Illinois,5,Andrew Jackson,5,Henry Clay,0,286,Jackson Democrat,Democratic,National Republican,221193.0,44238.6
1832,Indiana,9,Andrew Jackson,9,Henry Clay,0,286,Jackson Democrat,Democratic,National Republican,411598.0,45733.11111111111
1832,Kentucky,15,Henry Clay,15,Andrew Jackson,0,286,Clay home state,Democratic,National Republican,706299.0,47086.6
1832,Louisiana,5,Andrew Jackson,5,Henry Clay,0,286,Jackson Democrat,Democratic,National Republican,243073.0,48614.6
1832,Maine,10,Andrew Jackson,10,Henry Clay,0,286,Jackson Democrat,Democratic,National Republican,419923.0,41992.3
1832,Maryland,10,Henry Clay,5,Andrew Jackson,3,286,Split vote,Democratic,National Republican,451636.0,45163.6
1832,Massachusetts,14,Henry Clay,14,Andrew Jackson,0,286,Clay National Republican,Democratic,National Republican,635866.0,45419.0
1832,Mississippi,4,Andrew Jackson,4,Henry Clay,0,286,Jackson Democrat,Democratic,National Republican,184427.0,46106.75
1832,Missouri,4,Andrew Jackson,4,Henry Clay,0,286,Jackson Democrat,Democratic,National Republican,189104.0,47276.0
1832,New Hampshire,7,Andrew Jackson,7,Henry Clay,0,286,Jackson Democrat,Democratic,National Republican,272377.0,38911.0
1832,New Jersey,8,Andrew Jackson,8,Henry Clay,0,286,Jackson Democrat,Democratic,National Republican,331320.0,41415.0
1832,New York,42,Andrew Jackson,42,Henry Clay,0,286,Jackson Democrat,Democratic,National Republican,2020671.0,48111.21428571428
1832,North Carolina,15,Andrew Jackson,15,Henry Clay,0,286,Jackson Democrat,Democratic,National Republican,741073.0,49404.86666666667
1832,Ohio,21,Andrew Jackson,21,Henry Clay,0,286,Jackson Democrat,Democratic,National Republican,1054216.0,50200.76190476191
1832,Pennsylvania,30,Andrew Jackson,30,Henry Clay,0,286,Jackson Democrat,Democratic,National Republican,1423393.0,47446.43333333333
1832,Rhode Island,4,Henry Clay,4,Andrew Jackson,0,286,Clay National Republican,Democratic,National Republican,99525.0,24881.25
