Year,State,Electoral_Votes,Winner,Winner_EV,Runner_Up,Runner_Up_EV,Total_EV_Cast,Notes
1804,Pennsylvania,20,Thomas Jefferson,20,Charles Pinckney,0,176,Democratic-Republican
1804,Rhode Island,4,Thomas Jefferson,4,Charles Pinckney,0,176,Democratic-Republican
1804,South Carolina,10,Thomas Jefferson,10,Charles Pinckney,0,176,Democratic-Republican
1804,Tennessee,5,Thomas Jefferson,5,Charles Pinckney,0,176,Democratic-Republican
1804,Vermont,6,Thomas Jefferson,6,Charles Pinckney,0,176,Democratic-Republican
1804,Virginia,24,Thomas Jefferson,24,Charles Pinckney,0,176,Jefferson home state

1808,Connecticut,9,James Madison,0,Charles Pinckney,9,176,Federalist
1808,Delaware,3,James Madison,0,Charles Pinckney,3,176,Federalist
1808,Georgia,6,James Madison,6,Charles Pinckney,0,176,Democratic-Republican
1808,Kentucky,8,James Madison,7,Charles Pinckney,0,176,1 faithless elector
1808,Maryland,11,James Madison,9,Charles Pinckney,2,176,Split vote
1808,Massachusetts,19,James Madison,0,Charles Pinckney,19,176,Federalist
1808,New Hampshire,7,James Madison,0,Charles Pinckney,7,176,Federalist
1808,New Jersey,8,James Madison,8,Charles Pinckney,0,176,Democratic-Republican
1808,New York,19,James Madison,13,Charles Pinckney,6,176,Split vote
1808,North Carolina,14,James Madison,11,Charles Pinckney,3,176,Split vote
1808,Ohio,3,James Madison,3,Charles Pinckney,0,176,Democratic-Republican
1808,Pennsylvania,20,James Madison,20,Charles Pinckney,0,176,Democratic-Republican
1808,Rhode Island,4,James Madison,0,Charles Pinckney,4,176,Federalist
1808,South Carolina,10,James Madison,10,Charles Pinckney,0,176,Democratic-Republican
1808,Tennessee,5,James Madison,5,Charles Pinckney,0,176,Democratic-Republican
1808,Vermont,6,James Madison,6,Charles Pinckney,0,176,Democratic-Republican
1808,Virginia,24,James Madison,24,Charles Pinckney,0,176,Madison home state

1812,Connecticut,9,James Madison,0,DeWitt Clinton,9,218,Federalist
1812,Delaware,3,James Madison,0,DeWitt Clinton,3,218,Federalist
1812,Georgia,8,James Madison,8,DeWitt Clinton,0,218,Democratic-Republican
1812,Kentucky,12,James Madison,12,DeWitt Clinton,0,218,Democratic-Republican
1812,Louisiana,3,James Madison,3,DeWitt Clinton,0,218,New state admitted 1812
1812,Maryland,11,James Madison,6,DeWitt Clinton,5,218,Split vote
1812,Massachusetts,22,James Madison,0,DeWitt Clinton,22,218,Federalist
1812,New Hampshire,8,James Madison,0,DeWitt Clinton,8,218,Federalist
1812,New Jersey,8,James Madison,0,DeWitt Clinton,8,218,Federalist
1812,New York,29,James Madison,0,DeWitt Clinton,29,218,Clinton home state
1812,North Carolina,15,James Madison,15,DeWitt Clinton,0,218,Democratic-Republican
1812,Ohio,8,James Madison,7,DeWitt Clinton,0,218,1 elector did not vote
1812,Pennsylvania,25,James Madison,25,DeWitt Clinton,0,218,Democratic-Republican
1812,Rhode Island,4,James Madison,0,DeWitt Clinton,4,218,Federalist
1812,South Carolina,11,James Madison,11,DeWitt Clinton,0,218,Democratic-Republican
1812,Tennessee,8,James Madison,8,DeWitt Clinton,0,218,Democratic-Republican
1812,Vermont,8,James Madison,8,DeWitt Clinton,0,218,Democratic-Republican
1812,Virginia,25,James Madison,25,DeWitt Clinton,0,218,Madison home state

1816,Connecticut,9,James Monroe,0,Rufus King,9,221,Federalist
1816,Delaware,3,James Monroe,0,Rufus King,3,221,Federalist
1816,Georgia,8,James Monroe,8,Rufus King,0,221,Democratic-Republican
1816,Indiana,3,James Monroe,3,Rufus King,0,221,New state admitted 1816
1816,Kentucky,12,James Monroe,12,Rufus King,0,221,Democratic-Republican
1816,Louisiana,3,James Monroe,3,Rufus King,0,221,Democratic-Republican
1816,Maryland,11,James Monroe,8,Rufus King,0,221,3 electors did not vote
1816,Massachusetts,22,James Monroe,0,Rufus King,22,221,Federalist
1816,New Hampshire,8,James Monroe,8,Rufus King,0,221,Democratic-Republican
1816,New Jersey,8,James Monroe,8,Rufus King,0,221,Democratic-Republican
1816,New York,29,James Monroe,29,Rufus King,0,221,Democratic-Republican
1816,North Carolina,15,James Monroe,15,Rufus King,0,221,Democratic-Republican
1816,Ohio,8,James Monroe,8,Rufus King,0,221,Democratic-Republican
1816,Pennsylvania,25,James Monroe,25,Rufus King,0,221,Democratic-Republican
1816,Rhode Island,4,James Monroe,4,Rufus King,0,221,Democratic-Republican
1816,South Carolina,11,James Monroe,11,Rufus King,0,221,Democratic-Republican
1816,Tennessee,8,James Monroe,8,Rufus King,0,221,Democratic-Republican
1816,Vermont,8,James Monroe,8,Rufus King,0,221,Democratic-Republican
1816,Virginia,25,James Monroe,25,Rufus King,0,221,Monroe home state

1820,Alabama,3,James Monroe,3,John Q. Adams,0,235,New state admitted 1819
1820,Connecticut,9,James Monroe,9,John Q. Adams,0,235,Effectively unopposed
1820,Delaware,4,James Monroe,3,John Q. Adams,0,235,1 elector did not vote
1820,Georgia,8,James Monroe,8,John Q. Adams,0,235,Effectively unopposed
1820,Illinois,3,James Monroe,3,John Q. Adams,0,235,New state admitted 1818
1820,Indiana,3,James Monroe,3,John Q. Adams,0,235,Effectively unopposed
1820,Kentucky,12,James Monroe,12,John Q. Adams,0,235,Effectively unopposed
1820,Louisiana,3,James Monroe,3,John Q. Adams,0,235,Effectively unopposed
1820,Maine,9,James Monroe,9,John Q. Adams,0,235,New state admitted 1820
1820,Maryland,11,James Monroe,11,John Q. Adams,0,235,Effectively unopposed
1820,Massachusetts,15,James Monroe,15,John Q. Adams,0,235,Effectively unopposed
1820,Mississippi,3,James Monroe,2,John Q. Adams,0,235,New state 1817; 1 elector did not vote
1820,Missouri,3,James Monroe,3,John Q. Adams,0,235,New state 1821; disputed
1820,New Hampshire,8,James Monroe,7,John Q. Adams,1,235,1 faithless elector
1820,New Jersey,8,James Monroe,8,John Q. Adams,0,235,Effectively unopposed
1820,New York,29,James Monroe,29,John Q. Adams,0,235,Effectively unopposed
1820,North Carolina,15,James Monroe,15,John Q. Adams,0,235,Effectively unopposed
1820,Ohio,8,James Monroe,8,John Q. Adams,0,235,Effectively unopposed
1820,Pennsylvania,25,James Monroe,24,John Q. Adams,0,235,1 elector did not vote
1820,Rhode Island,4,James Monroe,4,John Q. Adams,0,235,Effectively unopposed
1820,South Carolina,11,James Monroe,11,John Q. Adams,0,235,Effectively unopposed
1820,Tennessee,8,James Monroe,7,John Q. Adams,0,235,1 elector did not vote
1820,Vermont,8,James Monroe,8,John Q. Adams,0,235,Effectively unopposed
1820,Virginia,25,James Monroe,25,John Q. Adams,0,235,Monroe home state

1824,Alabama,5,Andrew Jackson,5,John Q. Adams,0,261,No majority; House decides
1824,Connecticut,8,John Q. Adams,8,Andrew Jackson,0,261,Adams wins state
1824,Delaware,3,William Crawford,1,Andrew Jackson,1,261,Split vote
1824,Georgia,9,William Crawford,9,Andrew Jackson,0,261,Crawford home state
1824,Illinois,3,Andrew Jackson,2,John Q. Adams,1,261,Split vote
1824,Indiana,5,Andrew Jackson,5,John Q. Adams,0,261,Jackson plurality
1824,Kentucky,14,Henry Clay,14,Andrew Jackson,0,261,Clay home state
1824,Louisiana,5,Andrew Jackson,3,John Q. Adams,2,261,Split vote
1824,Maine,9,John Q. Adams,9,Andrew Jackson,0,261,Adams wins state
1824,Maryland,11,Andrew Jackson,7,John Q. Adams,3,261,Split vote
1824,Massachusetts,15,John Q. Adams,15,Andrew Jackson,0,261,Adams home state
1824,Mississippi,3,Andrew Jackson,3,John Q. Adams,0,261,Jackson plurality
1824,Missouri,3,Henry Clay,3,Andrew Jackson,0,261,Clay wins state
1824,New Hampshire,8,John Q. Adams,8,Andrew Jackson,0,261,Adams wins state
1824,New Jersey,8,Andrew Jackson,8,John Q. Adams,0,261,Jackson plurality
1824,New York,36,John Q. Adams,26,Andrew Jackson,5,261,Complex split
1824,North Carolina,15,Andrew Jackson,15,John Q. Adams,0,261,Jackson plurality
1824,Ohio,16,Henry Clay,16,Andrew Jackson,0,261,Clay wins state
1824,Pennsylvania,28,Andrew Jackson,28,John Q. Adams,0,261,Jackson plurality
1824,Rhode Island,4,John Q. Adams,4,Andrew Jackson,0,261,Adams wins state
1824,South Carolina,11,Andrew Jackson,11,John Q. Adams,0,261,Jackson plurality
1824,Tennessee,11,Andrew Jackson,11,John Q. Adams,0,261,Jackson home state
1824,Vermont,7,John Q. Adams,7,Andrew Jackson,0,261,Adams wins state
1824,Virginia,24,William Crawford,24,Andrew Jackson,0,261,Crawford wins state

1828,Alabama,5,Andrew Jackson,5,John Q. Adams,0,261,Jackson Democrat
1828,Connecticut,8,John Q. Adams,8,Andrew Jackson,0,261,Adams National Republican
1828,Delaware,3,John Q. Adams,3,Andrew Jackson,0,261,Adams National Republican
1828,Georgia,9,Andrew Jackson,9,John Q. Adams,0,261,Jackson Democrat
1828,Illinois,3,Andrew Jackson,3,John Q. Adams,0,261,Jackson Democrat
1828,Indiana,5,Andrew Jackson,5,John Q. Adams,0,261,Jackson Democrat
1828,Kentucky,14,Andrew Jackson,14,John Q. Adams,0,261,Jackson Democrat
1828,Louisiana,5,Andrew Jackson,5,John Q. Adams,0,261,Jackson Democrat
1828,Maine,9,John Q. Adams,8,Andrew Jackson,1,261,Split vote
1828,Maryland,11,John Q. Adams,6,Andrew Jackson,5,261,Split vote
1828,Massachusetts,15,John Q. Adams,15,Andrew Jackson,0,261,Adams home state
1828,Mississippi,3,Andrew Jackson,3,John Q. Adams,0,261,Jackson Democrat
1828,Missouri,3,Andrew Jackson,3,John Q. Adams,0,261,Jackson Democrat
1828,New Hampshire,8,John Q. Adams,8,Andrew Jackson,0,261,Adams National Republican
1828,New Jersey,8,John Q. Adams,8,Andrew Jackson,0,261,Adams National Republican
1828,New York,36,Andrew Jackson,20,John Q. Adams,16,261,Split vote
1828,North Carolina,15,Andrew Jackson,15,John Q. Adams,0,261,Jackson Democrat
1828,Ohio,16,Andrew Jackson,16,John Q. Adams,0,261,Jackson Democrat
1828,Pennsylvania,28,Andrew Jackson,28,John Q. Adams,0,261,Jackson Democrat
1828,Rhode Island,4,John Q. Adams,4,Andrew Jackson,0,261,Adams National Republican
1828,South Carolina,11,Andrew Jackson,11,John Q. Adams,0,261,Jackson Democrat
1828,Tennessee,11,Andrew Jackson,11,John Q. Adams,0,261,Jackson home state
1828,Vermont,7,John Q. Adams,7,Andrew Jackson,0,261,Adams National Republican
1828,Virginia,24,Andrew Jackson,24,John Q. Adams,0,261,Jackson Democrat

1832,Alabama,7,Andrew Jackson,7,Henry Clay,0,286,Jackson Democrat
1832,Connecticut,8,Henry Clay,8,Andrew Jackson,0,286,Clay National Republican
1832,Delaware,3,Henry Clay,3,Andrew Jackson,0,286,Clay National Republican
1832,Georgia,11,Andrew Jackson,11,Henry Clay,0,286,Jackson Democrat
1832,Illinois,5,Andrew Jackson,5,Henry Clay,0,286,Jackson Democrat
1832,Indiana,9,Andrew Jackson,9,Henry Clay,0,286,Jackson Democrat
1832,Kentucky,15,Henry Clay,15,Andrew Jackson,0,286,Clay home state
1832,Louisiana,5,Andrew Jackson,5,Henry Clay,0,286,Jackson Democrat
1832,Maine,10,Andrew Jackson,10,Henry Clay,0,286,Jackson Democrat
1832,Maryland,10,Henry Clay,5,Andrew Jackson,3,286,Split vote
1832,Massachusetts,14,Henry Clay,14,Andrew Jackson,0,286,Clay National Republican
1832,Mississippi,4,Andrew Jackson,4,Henry Clay,0,286,Jackson Democrat
1832,Missouri,4,Andrew Jackson,4,Henry Clay,0,286,Jackson Democrat
1832,New Hampshire,7,Andrew Jackson,7,Henry Clay,0,286,Jackson Democrat
1832,New Jersey,8,Andrew Jackson,8,Henry Clay,0,286,Jackson Democrat
1832,New York,42,Andrew Jackson,42,Henry Clay,0,286,Jackson Democrat
1832,North Carolina,15,Andrew Jackson,15,Henry Clay,0,286,Jackson Democrat
1832,Ohio,21,Andrew Jackson,21,Henry Clay,0,286,Jackson Democrat
1832,Pennsylvania,30,Andrew Jackson,30,Henry Clay,0,286,Jackson Democrat
1832,Rhode Island,4,Henry Clay,4,Andrew Jackson,0,286,Clay National Republican
1832,South Carolina,11,John Floyd,11,Andrew Jackson,0,286,Nullifier Party
1832,Tennessee,15,Andrew Jackson,15,Henry Clay,0,286,Jackson home state
1832,Vermont,7,William Wirt,7,Andrew Jackson,0,286,Anti-Masonic
1832,Virginia,23,Andrew Jackson,23,Henry Clay,0,286,Jackson Democrat

1836,Alabama,7,Martin Van Buren,7,Hugh White,0,294,Van Buren Democrat
1836,Arkansas,3,Martin Van Buren,3,Hugh White,0,294,New state admitted 1836
1836,Connecticut,8,Martin Van Buren,8,William Harrison,0,294,Van Buren Democrat
1836,Delaware,3,William Harrison,3,Martin Van Buren,0,294,Harrison Whig
1836,Georgia,11,Hugh White,11,Martin Van Buren,0,294,White Whig
1836,Illinois,5,Martin Van Buren,5,William Harrison,0,294,Van Buren Democrat
1836,Indiana,9,William Harrison,9,Martin Van Buren,0,294,Harrison Whig
1836,Kentucky,15,William Harrison,15,Martin Van Buren,0,294,Harrison Whig
1836,Louisiana,5,Martin Van Buren,5,Hugh White,0,294,Van Buren Democrat
1836,Maine,10,Martin Van Buren,10,William Harrison,0,294,Van Buren Democrat
1836,Maryland,10,William Harrison,10,Martin Van Buren,0,294,Harrison Whig
1836,Massachusetts,14,Daniel Webster,14,Martin Van Buren,0,294,Webster Whig
1836,Michigan,3,Martin Van Buren,3,William Harrison,0,294,New state admitted 1837
1836,Mississippi,4,Martin Van Buren,4,Hugh White,0,294,Van Buren Democrat
1836,Missouri,4,Martin Van Buren,4,Hugh White,0,294,Van Buren Democrat
1836,New Hampshire,7,Martin Van Buren,7,William Harrison,0,294,Van Buren Democrat
1836,New Jersey,8,William Harrison,8,Martin Van Buren,0,294,Harrison Whig
1836,New York,42,Martin Van Buren,42,William Harrison,0,294,Van Buren home state
1836,North Carolina,15,Martin Van Buren,15,Hugh White,0,294,Van Buren Democrat
1836,Ohio,21,William Harrison,21,Martin Van Buren,0,294,Harrison home state
1836,Pennsylvania,30,Martin Van Buren,30,William Harrison,0,294,Van Buren Democrat
1836,Rhode Island,4,Martin Van Buren,4,William Harrison,0,294,Van Buren Democrat
1836,South Carolina,11,Willie Mangum,11,Martin Van Buren,0,294,Mangum Whig
1836,Tennessee,15,Hugh White,15,Martin Van Buren,0,294,White home state
1836,Vermont,7,William Harrison,7,Martin Van Buren,0,294,Harrison Whig
1836,Virginia,23,Martin Van Buren,23,William Harrison,0,294,Van Buren Democrat

1840,Alabama,7,William Harrison,7,Martin Van Buren,0,294,Harrison Whig
1840,Arkansas,3,Martin Van Buren,3,William Harrison,0,294,Van Buren Democrat
1840,Connecticut,8,William Harrison,8,Martin Van Buren,0,294,Harrison Whig
1840,Delaware,3,William Harrison,3,Martin Van Buren,0,294,Harrison Whig
1840,Georgia,11,William Harrison,11,Martin Van Buren,0,294,Harrison Whig
1840,Illinois,5,Martin Van Buren,5,William Harrison,0,294,Van Buren Democrat
1840,Indiana,9,William Harrison,9,Martin Van Buren,0,294,Harrison Whig
1840,Kentucky,15,William Harrison,15,Martin Van Buren,0,294,Harrison Whig
1840,Louisiana,5,William Harrison,5,Martin Van Buren,0,294,Harrison Whig
1840,Maine,10,William Harrison,10,Martin Van Buren,0,294,Harrison Whig
1840,Maryland,10,William Harrison,10,Martin Van Buren,0,294,Harrison Whig
1840,Massachusetts,14,William Harrison,14,Martin Van Buren,0,294,Harrison Whig
1840,Michigan,3,William Harrison,3,Martin Van Buren,0,294,Harrison Whig
1840,Mississippi,4,William Harrison,4,Martin Van Buren,0,294,Harrison Whig
1840,Missouri,4,Martin Van Buren,4,William Harrison,0,294,Van Buren Democrat
1840,New Hampshire,7,Martin Van Buren,7,William Harrison,0,294,Van Buren Democrat
1840,New Jersey,8,William Harrison,8,Martin Van Buren,0,294,Harrison Whig
1840,New York,42,William Harrison,42,Martin Van Buren,0,294,Harrison Whig
1840,North Carolina,15,William Harrison,15,Martin Van Buren,0,294,Harrison Whig
1840,Ohio,21,William Harrison,21,Martin Van Buren,0,294,Harrison home state
1840,Pennsylvania,30,William Harrison,30,Martin Van Buren,0,294,Harrison Whig
1840,Rhode Island,4,William Harrison,4,Martin Van Buren,0,294,Harrison Whig
1840,South Carolina,11,Martin Van Buren,11,William Harrison,0,294,Van Buren Democrat
1840,Tennessee,15,William Harrison,15,Martin Van Buren,0,294,Harrison Whig
1840,Vermont,7,William Harrison,7,Martin Van Buren,0,294,Harrison Whig
1840,Virginia,23,Martin Van Buren,23,William Harrison,0,294,Van Buren Democrat

1844,Alabama,9,James Polk,9,Henry Clay,0,275,Polk Democrat
1844,Arkansas,3,James Polk,3,Henry Clay,0,275,Polk Democrat
1844,Connecticut,6,Henry Clay,6,James Polk,0,275,Clay Whig
1844,Delaware,3,Henry Clay,3,James Polk,0,275,Clay Whig
1844,Georgia,10,James Polk,10,Henry Clay,0,275,Polk Democrat
1844,Illinois,9,James Polk,9,Henry Clay,0,275,Polk Democrat
1844,Indiana,12,James Polk,12,Henry Clay,0,275,Polk Democrat
1844,Kentucky,12,Henry Clay,12,James Polk,0,275,Clay home state
1844,Louisiana,6,James Polk,6,Henry Clay,0,275,Polk Democrat
1844,Maine,9,James Polk,9,Henry Clay,0,275,Polk Democrat
1844,Maryland,8,Henry Clay,8,James Polk,0,275,Clay Whig
1844,Massachusetts,12,Henry Clay,12,James Polk,0,275,Clay Whig
1844,Michigan,5,James Polk,5,Henry Clay,0,275,Polk Democrat
1844,Mississippi,6,James Polk,6,Henry Clay,0,275,Polk Democrat
1844,Missouri,7,James Polk,7,Henry Clay,0,275,Polk Democrat
1844,New Hampshire,6,James Polk,6,Henry Clay,0,275,Polk Democrat
1844,New Jersey,7,Henry Clay,7,James Polk,0,275,Clay Whig
1844,New York,36,James Polk,36,Henry Clay,0,275,Polk Democrat
1844,North Carolina,11,Henry Clay,11,James Polk,0,275,Clay Whig
1844,Ohio,23,Henry Clay,23,James Polk,0,275,Clay Whig
1844,Pennsylvania,26,James Polk,26,Henry Clay,0,275,Polk Democrat
1844,Rhode Island,4,Henry Clay,4,James Polk,0,275,Clay Whig
1844,South Carolina,9,James Polk,9,Henry Clay,0,275,Polk Democrat
1844,Tennessee,13,Henry Clay,13,James Polk,0,275,Polk home state lost
1844,Vermont,6,Henry Clay,6,James Polk,0,275,Clay Whig
1844,Virginia,17,James Polk,17,Henry Clay,0,275,Polk Democrat

1848,Alabama,9,Lewis Cass,9,Zachary Taylor,0,290,Cass Democrat
1848,Arkansas,3,Lewis Cass,3,Zachary Taylor,0,290,Cass Democrat
1848,Connecticut,6,Zachary Taylor,6,Lewis Cass,0,290,Taylor Whig
1848,Delaware,3,Zachary Taylor,3,Lewis Cass,0,290,Taylor Whig
1848,Florida,3,Zachary Taylor,3,Lewis Cass,0,290,New state 1845
1848,Georgia,10,Zachary Taylor,10,Lewis Cass,0,290,Taylor Whig
1848,Illinois,9,Lewis Cass,9,Zachary Taylor,0,290,Cass Democrat
1848,Indiana,12,Lewis Cass,12,Zachary Taylor,0,290,Cass Democrat
1848,Iowa,4,Lewis Cass,4,Zachary Taylor,0,290,New state 1846
1848,Kentucky,12,Zachary Taylor,12,Lewis Cass,0,290,Taylor Whig
1848,Louisiana,6,Zachary Taylor,6,Lewis Cass,0,290,Taylor Whig
1848,Maine,9,Lewis Cass,9,Zachary Taylor,0,290,Cass Democrat
1848,Maryland,8,Zachary Taylor,8,Lewis Cass,0,290,Taylor Whig
1848,Massachusetts,12,Zachary Taylor,12,Lewis Cass,0,290,Taylor Whig
1848,Michigan,5,Lewis Cass,5,Zachary Taylor,0,290,Cass home state
1848,Mississippi,6,Lewis Cass,6,Zachary Taylor,0,290,Cass Democrat
1848,Missouri,7,Lewis Cass,7,Zachary Taylor,0,290,Cass Democrat
1848,New Hampshire,6,Lewis Cass,6,Zachary Taylor,0,290,Cass Democrat
1848,New Jersey,7,Zachary Taylor,7,Lewis Cass,0,290,Taylor Whig
1848,New York,36,Zachary Taylor,36,Lewis Cass,0,290,Taylor Whig
1848,North Carolina,11,Zachary Taylor,11,Lewis Cass,0,290,Taylor Whig
1848,Ohio,23,Lewis Cass,23,Zachary Taylor,0,290,Cass Democrat
1848,Pennsylvania,26,Zachary Taylor,26,Lewis Cass,0,290,Taylor Whig
1848,Rhode Island,4,Zachary Taylor,4,Lewis Cass,0,290,Taylor Whig
1848,South Carolina,9,Lewis Cass,9,Zachary Taylor,0,290,Cass Democrat
1848,Tennessee,13,Zachary Taylor,13,Lewis Cass,0,290,Taylor Whig
1848,Texas,4,Lewis Cass,4,Zachary Taylor,0,290,New state 1845
1848,Vermont,6,Zachary Taylor,6,Lewis Cass,0,290,Taylor Whig
1848,Virginia,17,Lewis Cass,17,Zachary Taylor,0,290,Cass Democrat
1848,Wisconsin,4,Lewis Cass,4,Zachary Taylor,0,290,New state 1848

1852,Alabama,9,Franklin Pierce,9,Winfield Scott,0,296,Pierce Democrat
1852,Arkansas,4,Franklin Pierce,4,Winfield Scott,0,296,Pierce Democrat
1852,California,4,Franklin Pierce,4,Winfield Scott,0,296,New state 1850
1852,Connecticut,6,Franklin Pierce,6,Winfield Scott,0,296,Pierce Democrat
1852,Delaware,3,Franklin Pierce,3,Winfield Scott,0,296,Pierce Democrat
1852,Florida,3,Franklin Pierce,3,Winfield Scott,0,296,Pierce Democrat
1852,Georgia,10,Franklin Pierce,10,Winfield Scott,0,296,Pierce Democrat
1852,Illinois,11,Franklin Pierce,11,Winfield Scott,0,296,Pierce Democrat
1852,Indiana,13,Franklin Pierce,13,Winfield Scott,0,296,Pierce Democrat
1852,Iowa,4,Franklin Pierce,4,Winfield Scott,0,296,Pierce Democrat
1852,Kentucky,12,Winfield Scott,12,Franklin Pierce,0,296,Scott Whig
1852,Louisiana,6,Franklin Pierce,6,Winfield Scott,0,296,Pierce Democrat
1852,Maine,8,Franklin Pierce,8,Winfield Scott,0,296,Pierce Democrat
1852,Maryland,8,Franklin Pierce,8,Winfield Scott,0,296,Pierce Democrat
1852,Massachusetts,13,Winfield Scott,13,Franklin Pierce,0,296,Scott Whig
1852,Michigan,6,Franklin Pierce,6,Winfield Scott,0,296,Pierce Democrat
